TYPEID;GROUPID;TYPENAME;MASS;VOLUME
24970;668;Divine Imperial Ambrose;11800000;118000
24971;668;Divine Imperial Basil;11800000;118000
24972;668;Divine Imperial Equalizer;11800000;118000
24973;668;Divine Imperial Avenger;11800000;118000
24974;668;Divine Imperial Justicar;11800000;118000
24975;668;Divine Imperial Champion;11800000;118000
24976;667;Imperial Origen;20500000;1100000
24977;667;Imperial Bataivah;19500000;1150000
24978;667;Imperial Tanakh;20500000;1100000
24979;667;Imperial Ultara;19500000;1150000
24982;667;Imperial Dominator;19500000;1150000
24983;667;Imperial Martyr;19500000;1150000
24985;667;Imperial Templar Torah;19500000;1150000
24988;667;Imperial Templar Ultara;19500000;1150000
24991;667;Imperial Templar Dominator;19500000;1150000
24992;667;Imperial Templar Martyr;19500000;1150000
24997;671;State Bo-Hi;1500100;15001
24999;671;State Showato;1612000;16120
25001;671;State Nagasa;2025000;20250
25004;671;State Shinai;2025000;20250
25007;671;State Shuriken;2040000;20400
25008;671;State Daito;2040000;20400
25011;671;State Wakizashi;1970000;19700
25012;671;State Katana;1650000;16500
25013;671;State Shukuro Shinai;1970000;19700
25015;671;State Shukuro Shuriken;1650000;16500
25020;676;State Kai Gunto;1650000;16500
25021;676;State Yumi;1650000;16500
25022;676;State Kissaki;1650000;16500
25024;676;State Tsuba;1650000;16500
25026;676;State Shukuro Choji;1650000;16500
25028;676;State Shukuro Kamikazi;1650000;16500
25033;671;Taibu State Shirasaya;1970000;19700
25034;671;Taibu State Suriage;1650000;16500
25035;671;Taibu State Nagasa;1970000;19700
25036;671;Taibu State Shinai;1650000;16500
25037;671;Taibu State Shuriken;1650000;16500
25038;671;Taibu State Tachi;1650000;16500
25039;671;Taibu State Yari;1650000;16500
25040;671;Taibu State Daito;1650000;16500
25041;671;Taibu State Wakizashi;1650000;16500
25042;671;Taibu State Katana;1650000;16500
25043;673;State Bushi;10700000;107000
25045;673;State Dogo;9600000;96000
25046;673;State Fudai;9200000;92000
25048;673;State Ashigaru;10100000;101000
25050;673;State Chugen;10100000;101000
25052;673;State Buke;10100000;101000
25054;673;State Shukuro Ashigaru;10100000;101000
25056;673;State Shukuro Chugen;10100000;101000
25057;673;State Shukuro Buke;10100000;101000
25058;673;State Shukuro Ashura;10100000;101000
25063;672;State Kerai;10100000;101000
25064;672;State Ronin;10100000;101000
25065;672;State Oni;10100000;101000
25066;672;State Kanpaku;10100000;101000
25067;672;State Shukuro Bajo;10100000;101000
25069;672;State Shukuro Samurai;10100000;101000
25075;673;Taibu State Tendai;10100000;101000
25076;673;Taibu State Sohei;10100000;101000
25077;673;Taibu State Shugo;10100000;101000
25078;673;Taibu State Daimyo;10100000;101000
25079;673;Taibu State Oni;10100000;101000
25080;673;Taibu State Kanpaku;10100000;101000
25081;673;Taibu State Bajo;10100000;101000
25082;673;Taibu State Samurai;10100000;101000
25083;674;State Tenkyu;21000000;1040000
25084;674;State Utaisho;22000000;1080000
25085;674;State Yojimbo;21000000;1040000
25086;674;State Zen;20500000;22000000
25089;674;State Oshiro;20500000;22000000
25090;674;State Shukuro Tenno;20500000;22000000
25092;674;State Shukuro Taisho;20500000;22000000
25094;674;State Shukuro Daijo;20500000;22000000
25097;674;State Shukuro Bishamon;20500000;22000000
25098;674;State Shukuro Shogun;20500000;22000000
25103;677;Federation Clavis;2450000;24500
25105;677;Federation Hastile;2250000;22500
25106;677;Federation Kontos;2500000;25000
25107;677;Federation Hoplon;2250000;22500
25110;677;Federation Manica;2950000;29500
25112;677;Federation Libertus;2950000;29500
25116;677;Federation Insidiator;2300000;23000
25117;677;Federation Praktor Balra;2300000;23000
25118;677;Federation Praktor Belos;2650000;26500
25120;677;Federation Praktor Harpago;2650000;26500
25124;677;Federation Kopis;2250000;22500
25125;679;Federation Machaira;2650000;26500
25126;679;Federation Matara;2650000;26500
25127;679;Federation Arcus;2650000;26500
25129;679;Federation Pelekus;2650000;26500
25131;679;Federation Praktor Phalarica;2650000;26500
25133;679;Federation Praktor Machina;2650000;26500
25137;677;Elite Federation Lixa;2300000;23000
25138;677;Elite Federation Lochos;2300000;23000
25139;677;Elite Federation Manica;2650000;26500
25140;677;Elite Federation Libertus;2650000;26500
25141;677;Elite Federation Insidiator;2650000;26500
25142;677;Elite Federation Matara;2650000;26500
25143;677;Elite Federation Arcus;2650000;26500
25144;677;Elite Federation Pelekus;2650000;26500
25145;677;Elite Federation Phalarica;2650000;26500
25146;677;Elite Federation Machina;2650000;26500
25147;678;Federation Loras;11300000;113000
25149;678;Federation Hastarius;11600000;116000
25150;678;Federation Hastatus;11500000;115000
25152;678;Federation Misthios;11200000;112000
25154;678;Federation Nauclarius;11200000;112000
25156;678;Federation Praktor Hippeus;11200000;112000
25158;678;Federation Praktor Ouragos;11200000;112000
25160;678;Federation Praktor Optioon;11200000;112000
25161;678;Federation Praktor Legionarius;11200000;112000
25162;678;Federation Praktor Centurion;11200000;112000
25167;681;Federation Pezos;11200000;112000
25168;681;Federation Praeco;11200000;112000
25169;681;Federation Calo;11200000;112000
25170;681;Federation Praktor Bearcus;11200000;112000
25171;681;Federation Praktor Arx;11200000;112000
25173;681;Federation Praktor Auxilia;11200000;112000
25179;678;Elite Federation Calo;11200000;112000
25180;678;Elite Federation Bearcus;11200000;112000
25181;678;Elite Federation Arx;11200000;112000
25182;678;Elite Federation Auxilia;11200000;112000
25183;678;Elite Federation Liburna;11200000;112000
25184;678;Elite Federation Navis;11200000;112000
25185;678;Elite Federation Quadrieris;11200000;112000
25186;678;Elite Federation Mentes;11200000;112000
25187;680;Federation Triarius;19000000;1010000
25188;680;Federation Xenan;17500000;1140000
25189;680;Federation Helepolis;19000000;1010000
25190;680;Federation Covinus;17500000;1140000
25193;680;Federation Navis Longa;17500000;1140000
25194;680;Federation Praktor Navis Praetoria;17500000;1140000
25196;680;Federation Praktor Hexeris;17500000;1140000
25198;680;Federation Praktor Praeses;17500000;1140000
25201;680;Federation Praktor Phanix;17500000;1140000
25202;680;Federation Praktor Magister;17500000;1140000
25215;185;Apocalypse 125ms 2500m;19500000;1150000
25230;409;Republic Fleet High Captain Insignia II;0,1;0,1
25231;226;LCO Stargate (Minmatar 1);1E+35;100000000
25232;226;LCO Stargate (Gallente 1);1E+35;100000000
25233;274;Corporation Contracting;0;0,01
25235;274;Contracting;0;0,01
25236;305;Gas Cloud 1;10;100
25237;712;Pure Standard Blue Pill Booster;0;1
25239;370;Blood Gold Tag;1;0,1
25240;662;Improved Blue Pill Booster Reaction;0;1
25241;712;Pure Improved Blue Pill Booster;0;1
25242;712;Pure Standard Crash Booster;0;1
25243;661;Standard Crash Booster Reaction;0;1
25244;305;Gas Cloud 2;0;100
25245;305;Gas Cloud 3;0;100
25246;305;Gas Cloud 4;0;100
25247;305;Gas Cloud 5;0;100
25248;305;Gas Cloud 6;0;100
25249;305;Gas Cloud 7;0;100
25250;305;Gas Cloud 8;0;100
25251;661;Standard Frentix Booster Reaction;0;1
25252;712;Pure Standard Frentix Booster;0;1
25255;306;Damaged Heron_2;1450000;16120
25266;737;Gas Cloud Harvester I;0;5
25267;134;Gas Cloud Harvester I Blueprint;0;0,01
25268;711;Amber Cytoserocin;0;10
25270;404;Biochemical Silo;100000000;4000
25271;404;Catalyst Silo;100000000;4000
25273;711;Golden Cytoserocin;0;10
25274;711;Viridian Cytoserocin;0;10
25275;711;Celadon Cytoserocin;0;10
25276;711;Malachite Cytoserocin;0;10
25277;711;Lime Cytoserocin;0;10
25278;711;Vermillion Cytoserocin;0;10
25279;711;Azure Cytoserocin;0;10
25280;404;Hazardous Chemical Silo;100000000;4000
25281;474;The Red Card;1;0,1
25282;662;Strong Blue Pill Booster Reaction;0;1
25283;712;Pure Strong Blue Pill Booster;0;1
25284;661;Standard Drop Booster Reaction;0;1
25285;661;Standard Exile Booster Reaction;0;1
25286;661;Standard Mindflood Booster Reaction;0;1
25287;661;Standard X-Instinct Booster Reaction;0;1
25288;661;Standard Sooth Sayer Booster Reaction;0;1
25289;662;Improved Crash Booster Reaction;0;1
25290;662;Improved Drop Booster Reaction;0;1
25291;662;Improved Exile Booster Reaction;0;1
25292;662;Improved Mindflood Booster Reaction;0;1
25293;662;Improved Frentix Booster Reaction;0;1
25294;662;Improved X-Instinct Booster Reaction;0;1
25295;662;Improved Sooth Sayer Booster Reaction;0;1
25296;662;Strong Crash Booster Reaction;0;1
25297;662;Strong Drop Booster Reaction;0;1
25298;662;Strong Exile Booster Reaction;0;1
25299;662;Strong Mindflood Booster Reaction;0;1
25300;662;Strong Frentix Booster Reaction;0;1
25301;662;Strong X-Instinct Booster Reaction;0;1
25302;662;Strong Sooth Sayer Booster Reaction;0;1
25303;718;Standard Blue Pill Booster Blueprint;0;0,01
25304;474;Pith Guristas Spa-Card;1;0,1
25305;397;Drug Lab;100000000;1250
25306;820;Pithatis Speaker;10100000;101000
25307;718;Improved Blue Pill Booster Blueprint;0;0,01
25308;718;Strong Blue Pill Booster Blueprint;0;0,01
25309;718;Standard Crash Booster Blueprint;0;0,01
25310;718;Improved Crash Booster Blueprint;0;0,01
25311;718;Strong Crash Booster Blueprint;0;0,01
25314;718;Standard Sooth Sayer Booster Blueprint;0;0,01
25322;718;Strong Frentix Booster Blueprint;0;0,01
25323;718;Standard Mindflood Booster Blueprint;0;0,01
25327;718;Standard Drop Booster Blueprint;0;0,01
25328;718;Improved Drop Booster Blueprint;0;0,01
25329;718;Strong Drop Booster Blueprint;0;0,01
25330;712;Pure Standard Drop Booster;0;1
25331;712;Pure Standard Exile Booster;0;1
25332;712;Pure Standard Mindflood Booster;0;1
25333;712;Pure Standard X-Instinct Booster;0;1
25334;712;Pure Standard Sooth Sayer Booster;0;1
25335;712;Pure Improved Crash Booster;0;1
25336;712;Pure Improved Drop Booster;0;1
25337;712;Pure Improved Exile Booster;0;1
25338;712;Pure Improved Mindflood Booster;0;1
25339;712;Pure Improved Frentix Booster;0;1
25340;712;Pure Improved X-Instinct Booster;0;1
25341;712;Pure Improved Sooth Sayer Booster;0;1
25342;712;Pure Strong Crash Booster;0;1
25343;712;Pure Strong Drop Booster;0;1
25344;712;Pure Strong Exile Booster;0;1
25345;712;Pure Strong Mindflood Booster;0;1
25346;712;Pure Strong Frentix Booster;0;1
25347;712;Pure Strong X-Instinct Booster;0;1
25348;712;Pure Strong Sooth Sayer Booster;0;1
25349;303;Strong Exile Booster;1;1
25351;715;Isana Dagin's Machariel;100000;100000000
25352;283;Black Jack's Underling;80;1
25353;474;Serpentis Shipyard Cipher;1;0,1
25354;310;Celestial Agent Site Beacon;1;1
25355;319;LCS Station (Caldari 1);0;0
25356;319;LCS Station (Caldari 2);0;0
25357;319;LCS Station (Caldari 3);0;0
25358;319;LCS Station (Caldari 5);0;0
25359;319;LCS Station (Caldari Research Outpost);0;0
25360;494;Caldari Research Outpost;0;0
25363;319;Static Caracal Navy Issue;10100000;101000
25364;526;Black Jack's DNA;1;0,1
25365;715;Oronata Vion's Caracal;10100000;101000
25366;409;Oronata Vion's Insignia;0,1;0,1
25367;526;Kois Entry Passcard;1;0,1
25368;715;Rattlesnake_Airkio Yanjulen;100000;100000000
25369;526;Airkio Yanjulen's Corpse;80;1
25371;715;Tomi_Hakiro Caracal;100000;100000000
25372;409;Tomi Hakiro's Insignia;0,1;0,1
25373;283;Militants;1000;2
25374;821;Mutated Drone Parasite;21000000;1010000
25375;226;LCO Guristas Control Tower;0;0
25377;494;Akkeshu's Storage Facility;1000000;1150
25378;474;Drone Modified Passcard;1;0,1
25379;802;Anti-Stabilizer Drone;21000000;1010000
25382;314;Guristas War Plans;1;0,1
25383;526;Otsalen Mano's Corpse;80;1
25384;494;Shielded Prison Facility;1;1
25385;383;H-2874 Defense Sentinel;1000;1000
25386;474;Prison Area Pass;1;0,1
25387;526;Guristas Armory Codes;1;1
25388;494;Guristas_Small Armory;100000;100000000
25389;674;Tantima Areki's Raven;20500000;22000000
25390;283;Tantima Areki;80;5
25391;526;Hakiro's Scanner Data;1;0,1
25392;715;Knaaninn Aranuri's Rattlesnake;100000;100000000
25393;526;Imperial Navy Gate Permit Container;1;10
25394;526;Gue Mouey's Message;1;0,1
25396;715;Gue Mouey Vindicator;0;0
25397;306;Tikui's Stash;10000;27500
25398;526;Tikui's Message;1;0,1
25400;816;Tikui Makan;19000000;1080000
25401;526;Expeditionary Data;1;0,1
25402;494;Expeditionary Storage Facility;100000;100000000
25403;517;Fetosa Kanim's Crane;0;0
25404;517;Vena Saapialen's Crane;0;0
25405;517;Ocho Shusiian's Crane;0;0
25406;517;Ozomi Obanen's Crane;0;0
25407;821;Akkeshu Karuan;21000000;22000000
25408;526;Akkeshu Karuan's DNA;1;0,1
25409;715;Rakka's Rattlesnake;100000;100000000
25411;422;Gaseous Fluorine Isotopes;0;0,1
25412;422;Gaseous Chlorine Isotopes;0;0,1
25413;422;Gaseous Bromine Isotopes;0;0,1
25414;422;Gaseous Iodine Isotopes;0;0,1
25415;517;Kara Morato's Bustard;0;0
25416;517;Tehjus Otsini's Bustard;0;0
25417;517;Heiraitah Siakkano's Bustard;0;0
25418;517;Rahli Saronu's Impel;0;0
25419;517;Enna Ahruneh's Impel;0;0
25420;517;Desra Nekri's Impel;0;0
25421;517;Galhar Lahara's Impel;0;0
25422;517;Marera Arghun's Prorator;0;0
25423;517;Rasa Jaswelu's Prorator;0;0
25424;517;Yoti Haraisha's Prorator;0;0
25425;517;Nemphad Azbias's Prorator;0;0
25430;517;Goligere Debanelis's Viator;0;0
25431;517;Gomosabin Zerdanne's Viator;0;0
25432;517;Juvoire Sche's Viator;0;0
25433;517;Oguet Aene's Viator;0;0
25434;517;Ravacesel Roque's Viator;0;0
25435;517;Binnie Nigolier's Occator;0;0
25436;517;Grisier Challier's Occator;0;0
25437;517;Mabvrion Atlete's Occator;0;0
25438;517;Baftot Asluzof's Prorator;0;0
25439;517;Horir Firvoon's Prorator;0;0
25440;517;Vianes Ounid's Prorator;0;0
25449;517;Bollen Odridur's Prowler;0;0
25450;517;Golarad Hjom's Prowler;0;0
25455;517;Urandi Krilin's Machariel;0;0
25456;517;Bleur Hein's Machariel;0;0
25457;517;Lunuin Eurek's Machariel;0;0
25458;517;Henara Vern's Sleipnir;0;0
25459;517;Kamal Sharadon's Nightmare;0;0
25460;517;Shusa Lemihonn's Nightmare;0;0
25461;517;Maboula Ahrenon's Phantasm;0;0
25462;517;Rerina Tarit's Phantasm;0;0
25463;517;Avora Alkas's Phantasm;0;0
25464;517;Riluko Hik's Prowler;0;0
25465;517;Uiswin Aurtur's Prowler;0;0
25466;517;Zwod Aden's Prowler;0;0
25467;526;Caldari Corpse;80;1
25468;306;Ship Carcass_2;1000000;100000000
25471;306;Erakki's Storage Bin;10000;1200
25472;495;Drone Creation Compound;100000;100000000
25503;718;Improved X-Instinct Booster Blueprint;0;0,01
25504;718;Improved Exile Booster Blueprint;0;0,01
25505;718;Improved Frentix Booster Blueprint;0;0,01
25506;718;Improved Mindflood Booster Blueprint;0;0,01
25507;718;Improved Sooth Sayer Booster Blueprint;0;0,01
25508;718;Standard Exile Booster Blueprint;0;0,01
25509;718;Standard Frentix Booster Blueprint;0;0,01
25510;718;Standard X-Instinct Booster Blueprint;0;0,01
25511;718;Strong Mindflood Booster Blueprint;0;0,01
25512;718;Strong Sooth Sayer Booster Blueprint;0;0,01
25513;718;Strong X-Instinct Booster Blueprint;0;0,01
25514;526;Kakala's Voucher;1;1
25515;526;Nuomo's Voucher;1;1
25516;526;Erakki's Voucher;1;1
25517;526;Oduma's Voucher;1;1
25518;517;Kakala Ikkawa's Obsidian;0;0
25519;517;Erakki Kihuo's Obsidian;0;0
25520;517;Oduma Pakane's Rokh;0;0
25522;526;Nuomo's Scanner Data;1;0,1
25523;306;Nuomo's Scanner;1000000;100000000
25524;495;Angel Central Command;0;0
25526;306;Hidden Treasure Chest;10000;1200
25528;495;Guristas Fleet Stronghold;1000;1000
25530;1220;Neurotoxin Recovery;0;0,01
25531;715;Dorim Fatimar's Punisher;0;0
25532;715;Reqqa Bratesch's Vengeance;0;0
25533;715;Kushan Horeat's Arbitrator;0;0
25534;715;Ragot Parah's Maller;0;0
25535;715;Nimpor Fatimar's Omen;0;0
25537;306;Damaged Prorator;1450000;16120
25538;1220;Neurotoxin Control;0;0,01
25539;718;Strong Exile Booster Blueprint;0;0,01
25540;737;'Crop' Gas Cloud Harvester;0;5
25541;134;'Crop' Gas Cloud Harvester Blueprint;0;0,01
25542;737;'Plow' Gas Cloud Harvester;0;5
25543;134;'Plow' Gas Cloud Harvester Blueprint;0;0,01
25544;1218;Gas Cloud Harvesting;0;0,01
25545;1231;Eifyr and Co. 'Alchemist' Nanite Control NC-903;0;1
25546;1231;Eifyr and Co. 'Alchemist' Nanite Control NC-905;0;1
25547;1231;Eifyr and Co. 'Alchemist' Neurotoxin Recovery NR-1003;0;1
25548;1231;Eifyr and Co. 'Alchemist' Neurotoxin Recovery NR-1005;0;1
25549;821;Security Overseer;19000000;19000000
25550;474;Freebooter's Key Alpha;1;0,1
25551;474;Blood Raider Shipyard Keycard;1;0,1
25552;319;LCS Blood Raider Bhaalgorn;100000;100000000
25553;716;Cryptic Data Interface;0;1
25554;716;Occult Data Interface;0;1
25555;716;Esoteric Data Interface;0;1
25556;716;Incognito Data Interface;0;1
25557;670;Jamur Fatimar;19500000;1150000
25559;495;Blood Raider Fleet Stronghold;1000;1000
25560;26;Opux Dragoon Yacht;13075000;115000
25561;514;Signal Distortion Amplifier I;1;5
25562;1222;Signal Distortion Amplifier I Blueprint;0;0,01
25563;514;Signal Distortion Amplifier II;1;5
25564;1222;Signal Distortion Amplifier II Blueprint;0;0,01
25565;514;'Hypnos' Signal Distortion Amplifier I;1;5
25567;514;Compulsive Signal Distortion Amplifier I;1;5
25569;514;Induced Signal Distortion Amplifier I;1;5
25571;514;Initiated Signal Distortion Amplifier I;1;5
25575;526;Damaged Cloaking Device;1;0,1
25576;533;Ketta Tomin2;10900000;109000
25577;474;Freebooter's Key Beta;1;0,1
25578;821;Security Maintenance Facility Overseer;19000000;19000000
25579;474;Freebooter's Key Gamma;1;0,1
25581;821;Security Mining Facility Overseer;19000000;19000000
25582;517;Nuomo Kaavunin's Rokh;0;0
25583;517;Lauka Ikunol's Phoenix;0;0
25584;356;Esoteric Data Interface Blueprint;0;0,01
25585;356;Occult Data Interface Blueprint;0;0,01
25586;356;Incognito Data Interface Blueprint;0;0,01
25587;356;Cryptic Data Interface Blueprint;0;0,01
25588;754;Scorched Telemetry Processor;0;0,01
25589;754;Malfunctioning Shield Emitter;0;0,01
25590;754;Contaminated Nanite Compound;0;0,01
25591;754;Contaminated Lorentz Fluid;0;0,01
25592;754;Defective Current Pump;0;0,01
25593;754;Smashed Trigger Unit;0;0,01
25594;754;Tangled Power Conduit;0;0,01
25595;754;Alloyed Tritanium Bar;0;0,01
25596;754;Broken Drone Transceiver;0;0,01
25597;754;Damaged Artificial Neural Network;0;0,01
25598;754;Tripped Power Circuit;0;0,01
25599;754;Charred Micro Circuit;0;0,01
25600;754;Burned Logic Circuit;0;0,01
25601;754;Fried Interface Circuit;0;0,01
25602;754;Thruster Console;0;0,01
25603;754;Melted Capacitor Console;0;0,01
25604;754;Conductive Polymer;0;0,01
25605;754;Armor Plates;0;0,01
25606;754;Ward Console;0;0,01
25607;754;Telemetry Processor;0;0,01
25608;754;Intact Shield Emitter;0;0,01
25609;754;Nanite Compound;0;0,01
25610;754;Lorentz Fluid;0;0,01
25611;754;Current Pump;0;0,01
25612;754;Trigger Unit;0;0,01
25613;754;Power Conduit;0;0,01
25614;754;Single-crystal Superalloy I-beam;0;0,01
25615;754;Drone Transceiver;0;0,01
25616;754;Artificial Neural Network;0;0,01
25617;754;Power Circuit;0;0,01
25618;754;Micro Circuit;0;0,01
25619;754;Logic Circuit;0;0,01
25620;754;Interface Circuit;0;0,01
25621;754;Impetus Console;0;0,01
25622;754;Capacitor Console;0;0,01
25623;754;Conductive Thermoplastic;0;0,01
25624;754;Intact Armor Plates;0;0,01
25625;754;Enhanced Ward Console;0;0,01
25626;383;Guristas Annihilation Missile Battery;1000;1000
25632;757;Annihilator Drone;100000;60
25633;761;Arachula Drone;2000000;20000
25634;761;Asmodeus Drone;2000000;20000
25635;757;Atomizer Drone;100000;60
25636;759;Barracuda Drone;100000;60
25637;761;Beelzebub Drone;2000000;20000
25638;761;Belphegor Drone;2000000;20000
25639;757;Bomber Drone;100000;60
25640;755;Crippler Drone;100000;60
25641;759;Decimator Drone;100000;60
25642;755;Defeater Drone;100000;60
25643;757;Destructor Drone;100000;60
25644;757;Devastator Drone;100000;60
25645;759;Devilfish Drone;100000;60
25646;757;Disintegrator Drone;100000;60
25647;758;Dismantler Drone;100000;60
25648;756;Domination Drone;21000000;1010000
25649;761;Dragonfly Drone;2000000;20000
25650;756;Drone Controller;21000000;1010000
25651;756;Drone Creator;21000000;1010000
25652;756;Drone Queen;21000000;1010000
25653;756;Drone Ruler;21000000;1010000
25654;755;Enforcer Drone;100000;60
25655;755;Exterminator Drone;100000;60
25656;759;Hunter Drone;100000;60
25657;761;Incubus Drone;2000000;20000
25658;759;Infester Drone;100000;60
25659;761;Malphas Drone;2000000;20000
25660;761;Mammon Drone;2000000;20000
25661;758;Marauder Drone;100000;60
25662;756;Matriarch Drone;21000000;1010000
25663;761;Moth Drone;2000000;20000
25664;757;Nuker Drone;100000;60
25665;756;Patriarch Drone;21000000;1010000
25666;758;Predator Drone;100000;60
25667;759;Raider Drone;100000;60
25668;759;Render Drone;100000;60
25669;758;Ripper Drone;100000;60
25670;761;Scorpionfly Drone;2000000;20000
25671;758;Shatter Drone;100000;60
25672;758;Shredder Drone;100000;60
25673;755;Siege Drone;100000;60
25674;759;Silverfish Drone;100000;60
25675;756;Spearhead Drone;21000000;1010000
25676;759;Splinter Drone;100000;60
25677;757;Strain Annihilator Drone;100000;60
25678;757;Strain Atomizer Drone;100000;60
25679;759;Strain Barracude Drone;100000;60
25680;757;Strain Bomber Drone;100000;60
25681;759;Strain Decimator Drone;100000;60
25682;757;Strain Destructor Drone;100000;60
25683;757;Strain Devastator Drone;100000;60
25684;759;Strain Devilfish Drone;100000;60
25685;757;Strain Disintegrator Drone;100000;60
25686;759;Strain Hunter Drone;100000;60
25687;759;Strain Infester Drone;100000;60
25688;757;Strain Nuker Drone;100000;60
25689;759;Strain Raider Drone;100000;60
25690;759;Strain Render Drone;100000;60
25691;759;Strain Silverfish Drone;100000;60
25692;759;Strain Splinter Drone;100000;60
25693;759;Strain Sunder Drone;100000;60
25694;757;Strain Violator Drone;100000;60
25695;757;Strain Viral Infector Drone;100000;60
25696;757;Strain Wrecker Drone;100000;60
25697;755;Striker Drone;100000;60
25698;759;Sunder Drone;100000;60
25699;756;Supreme Drone Parasite;21000000;1010000
25700;756;Swarm Preserver Drone;21000000;1010000
25701;761;Tarantula Drone;2000000;20000
25702;761;Termite Drone;2000000;20000
25703;757;Violator Drone;100000;60
25704;757;Viral Infector Drone;100000;60
25705;757;Wrecker Drone;100000;60
25706;383;Tower Sentry Guristas III_buffed;1000;1000
25707;771;Prototype 'Arbalest' Heavy Assault Missile Launcher I;0;10
25709;771;Upgraded 'Malkuth' Heavy Assault Missile Launcher I;0;10
25711;771;Limited 'Limos' Heavy Assault Missile Launcher I;0;10
25713;771;Experimental XT-2800 Heavy Assault Missile Launcher I;0;10
25715;771;Heavy Assault Missile Launcher II;0;10
25716;136;Heavy Assault Missile Launcher II Blueprint;0;0,01
25717;494;Guristas War Installation;100000;100000000
25718;256;Heavy Assault Missile Specialization;0;0,01
25719;256;Heavy Assault Missiles;0;0,01
25722;517;Yekti Kimebu's Malediction;0;0
25725;319;Stabber LCS;100000;100000000
25734;494;Pagera Manton;0;0
25735;306;Ship Wreckage6;1000000;100000000
25736;773;Large Anti-EM Pump I;200;20
25737;787;Large Anti-EM Pump I Blueprint;0;0,01
25739;1217;Astrometric Rangefinding;0;0,01
25740;517;Kaymotin Gradance's Oneiros;0;0
25741;517;Wessette Gauze's Oneiros;0;0
25742;517;Bley Oreriel's Myrmidon;0;0
25743;517;Cliene Veine's Dominix;0;0
25744;517;Jarvas Ladier's Megathron;0;0
25745;517;Valedt Midalle's Dominix;0;0
25746;517;Ovon Flac's Megathron;0;0
25747;517;Dars Amene's Myrmidon;0;0
25748;517;Orain Purcour's Tristan;1250000;26500
25749;517;Marvernois Ruemin's Tristan;1250000;26500
25750;517;Androver Hnill's Tempest;0;0
25751;517;Akelf Ortar's Tempest;0;0
25752;517;Lafuni Oduntra's Tempest;0;0
25753;517;Sigulo Ansa's Nidhoggur;0;0
25754;517;Ilkur Eiren's Nidhoggur;0;0
25771;481;Recon Probe Launcher II;0;5
25772;918;Recon Probe Launcher II Blueprint;0;0,01
25797;972;Radar Quest Probe;1;1,25
25805;495;Outgrowth Strain Mother_00COSMOS;1000;1000
25806;562;TEST ATTACKER;1650000;16500
25807;474;TestMeetingKeycard;1;0,1
25808;821;TestProphetBlood;19500000;1150000
25809;495;Kois City;1000;1000
25810;1217;Astrometric Pinpointing;0;0,01
25811;1217;Astrometric Acquisition;0;0,01
25812;737;Gas Cloud Harvester II;0;5
25813;134;Gas Cloud Harvester II Blueprint;0;0,01
25814;674;Admiral Aurobe Kois;20500000;22000000
25815;319;AoE SmartBomb Test;100000;100000000
25816;335;TEST Triggered Damage Cloud;0;0
25817;383;TEST Cap Drain Sentry;100000;60
25818;821;Black Jack;19000000;19000000
25819;319;LCS Amarr Trade Post;100000;100000000
25820;678;Kristjan's Gallente Boss;11200000;112000
25821;404;General Storage;100000000;4000
25822;594;Gist_Defender Battleship;19000000;19000000
25823;597;Gistii_Defender_Frigate;1645000;16450
25824;612;Pith Defender;21000000;22000000
25825;615;Pithi Defender;1650000;16500
25826;319;LCS (Minmatar Mining Station);0;0
25827;383;Minmatar Station Sentry;1000;1000
25828;319;LCS Drug Lab;1000000;0
25829;784;Angel Chaos Frigate;1200000;0
25830;517;Pondah Shanjih's Malediction;0;0
25831;517;Charit Rish's Baalgorn;0;0
25832;517;Neyan Khahsel's Baalgorn;0;0
25833;517;Dalitat Dakpor's Damnation;0;0
25840;383;Station Sentry 9F;1000;1000
25841;306;Slave Pens;100000;100000000
25844;526;Head in a Jar;1;1
25845;306;Prison_Mission;100000;100000000
25846;517;Kanmilia Oldit's Tempest;0;0
25847;283;A Really REALLY Clueless Tourist;200;1
25848;821;Kalorr Makur;19500000;1150000
25849;370;Kalorr Makur's Tag;1;0,1
25850;283;Dalitat Dakpor's Clone;80;5
25851;716;Occult Ship Data Interface;0;1
25852;356;Occult Ship Data Interface Blueprint;0;0,01
25853;716;Esoteric Ship Data Interface;0;1
25854;356;Esoteric Ship Data Interface Blueprint;0;0,01
25855;716;Incognito Ship Data Interface;0;1
25856;356;Incognito Ship Data Interface Blueprint;0;0,01
25857;716;Cryptic Ship Data Interface;0;1
25858;356;Cryptic Ship Data Interface Blueprint;0;0,01
25859;319;Amarr Battlestation_2;0;0
25860;335;Argon Gas Environment_Damage;0;0
25861;1122;Salvager I;0;5
25862;1123;Salvager I Blueprint;0;0,01
25863;1218;Salvaging;0;0,01
25864;474;Rakogh Officer Gate Key;1;0,1
25865;821;Pashan's Battle-Commander;21000000;100100
25866;495;Rakogh Citadel;1000;1000
25867;742;Pashan's Turret Handling Mindlink;0;1
25868;742;Pashan's Turret Customization Mindlink;0;1
25869;283;Harlots;50;1
25870;821;Serpentis Procurer;19000000;1010000
25873;821;Piran Ketoisa;21000000;22000000
25875;283;Minmatar Reporter;80;2
25877;820;TestNPC001;10100000;101000
25878;526;Ovon Flac's Documents;1;0,1
25879;526;Ovon Flac's Container;1;10
25880;502;Cosmic Agent Site Signature;0;1
